Organism	Sample Name	short	Run	Experiment	Age	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	dev_stage	Instrument	Isolate	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Platform	ReleaseDate	sex	SRA Study	Tissue	birth_location	Isolation_source	sub_species	BREED	Cultivar	Ecotype	STRAIN
Telmatochromis bifrenatus	KYB7	telbif_KYB7	SRR9673853	SRX6434367	missing	WGS	252	9058729932	PRJNA550295	SAMN12124016	Model organism or animal	3080142556	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	KYB7	KYB7	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Telmatochromis bifrenatus	KYB8	telbif_KYB8	SRR9673854	SRX6434366	missing	WGS	252	9453644424	PRJNA550295	SAMN12124017	Model organism or animal	3214728433	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	KYB8	KYB8	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Telmatochromis brachygnathus	JBE8	telbra_JBE8	SRR9673975	SRX6434489	missing	WGS	252	8487308340	PRJNA550295	SAMN12123827	Model organism or animal	3430722446	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JBE8	JBE8	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Telmatochromis brachygnathus	JBE9	telbra_JBE9	SRR9673976	SRX6434488	missing	WGS	252	8724963492	PRJNA550295	SAMN12123828	Model organism or animal	2952504523	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JBE9	JBE9	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Telmatochromis brichardi	JVI9	telbri_JVI9	SRR9674044	SRX6434419	missing	WGS	252	10533168072	PRJNA550295	SAMN12123876	Model organism or animal	3807051298	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JVI9	JVI9	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Telmatochromis brichardi	JXA4	telbri_JXA4	SRR9675314	SRX6435769	missing	WGS	252	10335344292	PRJNA550295	SAMN12123933	Model organism or animal	3663906987	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JXA4	JXA4	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Telmatochromis dhonti	LBF8	teldhS_LBF8	SRR9673830	SRX6434390	missing	WGS	252	8301086640	PRJNA550295	SAMN12124028	Model organism or animal	2852888904	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	LBF8	LBF8	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Telmatochromis dhonti	LBF7	teldhS_LBF7	SRR9673831	SRX6434389	missing	WGS	252	8843198868	PRJNA550295	SAMN12124027	Model organism or animal	3081335833	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	LBF7	LBF7	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Telmatochromis sp. 'dhonti north' AB-2019	JUD4	teldhN_JUD4	SRR9673961	SRX6434502	missing	WGS	252	7577097696	PRJNA550295	SAMN12123862	Model organism or animal	2633951217	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JUD4	JUD4	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Telmatochromis sp. 'dhonti north' AB-2019	JUD5	teldhN_JUD5	SRR9673962	SRX6434501	missing	WGS	252	17097499440	PRJNA550295	SAMN12123863	Model organism or animal	6228618663	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JUD5	JUD5	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Telmatochromis sp. 'dhonti twiyu' AB-2019	LHF2	teldhT_LHF2	SRR9673819	SRX6434401	missing	WGS	252	17585649648	PRJNA550295	SAMN12124103	Model organism or animal	6363365790	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	LHF2	LHF2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Telmatochromis sp. 'dhonti twiyu' AB-2019	LHC1	teldhT_LHC1	SRR9673876	SRX6434344	missing	WGS	252	18738273960	PRJNA550295	SAMN12124099	Model organism or animal	6775739601	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	LHC1	LHC1	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Telmatochromis sp. 'longola' AB-2019	JWC9	tellon_JWC9	SRR9675302	SRX6435781	missing	WGS	252	17511307380	PRJNA550295	SAMN12123887	Model organism or animal	6333491352	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JWC9	JWC9	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Telmatochromis sp. 'longola' AB-2019	JWC8	tellon_JWC8	SRR9675303	SRX6435780	missing	WGS	252	9050916672	PRJNA550295	SAMN12123886	Model organism or animal	3183679225	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JWC8	JWC8	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Telmatochromis sp. 'shell' AB-2019	IRI9	telshe_IRI9	SRR9665634	SRX6426599	missing	WGS	252	8785053144	PRJNA550295	SAMN12123728	Model organism or animal	3387686501	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	IRI9	IRI9	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Telmatochromis sp. 'shell' AB-2019	IRI8	telshe_IRI8	SRR9665635	SRX6426598	missing	WGS	252	10882742220	PRJNA550295	SAMN12123727	Model organism or animal	4363335406	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	IRI8	IRI8	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Telmatochromis temporalis	IMB3	telteS_IMB3	SRR9657479	SRX6418782	missing	WGS	252	7308432684	PRJNA550295	SAMN12123667	Model organism or animal	2704130813	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	IMB3	IMB3	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Telmatochromis temporalis	IMB4	telteS_IMB4	SRR9657480	SRX6418781	missing	WGS	252	10603795608	PRJNA550295	SAMN12123668	Model organism or animal	4135460414	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	IMB4	IMB4	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Telmatochromis vittatus	JBD5	telvit_JBD5	SRR9673971	SRX6434493	missing	WGS	252	8820041580	PRJNA550295	SAMN12123823	Model organism or animal	3356054576	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JBD5	JBD5	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Telmatochromis vittatus	JBD6	telvit_JBD6	SRR9673972	SRX6434492	missing	WGS	252	9487079532	PRJNA550295	SAMN12123824	Model organism or animal	3238198866	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JBD6	JBD6	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Trematocara caparti	LJC8	trecap_LJC8	SRR9673952	SRX6434268	missing	WGS	252	11248255872	PRJNA550295	SAMN12124116	Model organism or animal	3838786254	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	LJC8	LJC8	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	missing	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Trematocara macrostoma	IUD8	tremac_IUD8	SRR9665720	SRX6426513	missing	WGS	245	16950294338	PRJNA550295	SAMN12123751	Model organism or animal	6298623843	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	IUD8	IUD8	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Trematocara macrostoma	IUD9	tremac_IUD9	SRR9665721	SRX6426512	missing	WGS	252	15321180924	PRJNA550295	SAMN12123752	Model organism or animal	5247701431	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	IUD9	IUD9	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Trematocara marginatum	ISA3	tremar_ISA3	SRR9665630	SRX6426603	missing	WGS	245	17912994410	PRJNA550295	SAMN12123730	Model organism or animal	6519166173	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	ISA3	ISA3	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Trematocara marginatum	ISA1	tremar_ISA1	SRR9665631	SRX6426602	missing	WGS	252	9124078824	PRJNA550295	SAMN12123729	Model organism or animal	3506397398	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	ISA1	ISA1	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Trematocara nigrifrons	IUE5	trenig_IUE5	SRR9665722	SRX6426511	missing	WGS	252	19079828964	PRJNA550295	SAMN12123753	Model organism or animal	6758599730	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	IUE5	IUE5	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Trematocara nigrifrons	GPA1	trenig_GPA1	SRR9657531	SRX6418730	missing	WGS	252	9126220572	PRJNA550295	SAMN12123634	Model organism or animal	3516638008	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	GPA1	GPA1	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Trematocara stigmaticum	IUE7	tresti_IUE7	SRR9665723	SRX6426510	missing	WGS	252	14951082384	PRJNA550295	SAMN12123754	Model organism or animal	5620680836	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	IUE7	IUE7	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Trematocara stigmaticum	IZE1	tresti_IZE1	SRR9674008	SRX6434456	missing	WGS	252	12690701856	PRJNA550295	SAMN12123803	Model organism or animal	4628650554	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	IZE1	IZE1	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Trematocara unimaculatum	IXA3	treuni_IXA3	SRR9665707	SRX6426526	missing	WGS	252	14886488484	PRJNA550295	SAMN12123778	Model organism or animal	5772547054	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	IXA3	IXA3	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-27T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Trematocara unimaculatum	IXA6	treuni_IXA6	SRR9673990	SRX6434474	missing	WGS	252	13825894824	PRJNA550295	SAMN12123781	Model organism or animal	4639927505	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	IXA6	IXA6	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Trematocara zebra	LFC9	trezeb_LFC9	SRR9673928	SRX6434292	missing	WGS	252	8667029952	PRJNA550295	SAMN12124073	Model organism or animal	2962590423	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	LFC9	LFC9	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Trematocara zebra	LFE4	trezeb_LFE4	SRR9673938	SRX6434282	missing	WGS	252	9186934932	PRJNA550295	SAMN12124076	Model organism or animal	3146429962	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	LFE4	LFE4	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Triglachromis otostigma	JEG5	trioto_JEG5	SRR9673981	SRX6434483	missing	WGS	252	12272833440	PRJNA550295	SAMN12123852	Model organism or animal	4901715324	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JEG5	JEG5	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Triglachromis otostigma	JEG6	trioto_JEG6	SRR9673984	SRX6434480	missing	WGS	252	9011717064	PRJNA550295	SAMN12123853	Model organism or animal	3150398043	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JEG6	JEG6	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Tropheus annectens	JWG5	troann_JWG5	SRR9675321	SRX6435762	missing	WGS	252	10094073696	PRJNA550295	SAMN12123918	Model organism or animal	3518588990	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JWG5	JWG5	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Tropheus annectens	JWG4	troann_JWG4	SRR9675322	SRX6435761	missing	WGS	245	18976634233	PRJNA550295	SAMN12123917	Model organism or animal	7024598588	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JWG4	JWG4	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Tropheus brichardi	JZA3	trobri_JZA3	SRR9675370	SRX6435713	missing	WGS	252	10996681248	PRJNA550295	SAMN12123953	Model organism or animal	4334054560	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JZA3	JZA3	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Tropheus brichardi	JYI8	trobri_JYI8	SRR9675371	SRX6435712	missing	WGS	252	11146584960	PRJNA550295	SAMN12123952	Model organism or animal	4192089182	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JYI8	JYI8	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Tropheus duboisi	KHA5	trodub_KHA5	SRR9673846	SRX6434374	missing	WGS	252	10189008900	PRJNA550295	SAMN12124008	Model organism or animal	3503304173	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	KHA5	KHA5	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Tropheus duboisi	KHA4	trodub_KHA4	SRR9673847	SRX6434373	missing	WGS	252	9479588580	PRJNA550295	SAMN12124007	Model organism or animal	3298227446	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	KHA4	KHA4	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Tropheus moorii	JBH4	tromoo_JBH4	SRR9673968	SRX6434496	missing	WGS	252	8465417604	PRJNA550295	SAMN12123830	Model organism or animal	3506642504	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	JBH4	JBH4	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Tropheus moorii	JBH5	tromoo_JBH5	SRR9674025	SRX6434439	missing	WGS	252	9827068104	PRJNA550295	SAMN12123831	Model organism or animal	3975123083	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JBH5	JBH5	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Tropheus polli	LEF8	tropol_LEF8	SRR9673910	SRX6434310	missing	WGS	252	16327373076	PRJNA550295	SAMN12124064	Model organism or animal	5875396099	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	LEF8	LEF8	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Tropheus polli	LEF9	tropol_LEF9	SRR9673913	SRX6434307	missing	WGS	252	15846928272	PRJNA550295	SAMN12124065	Model organism or animal	5698997205	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	LEF9	LEF9	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Tropheus sp. 'black'	JVC3	tronig_JVC3	SRR9673959	SRX6434504	missing	WGS	252	13448386980	PRJNA550295	SAMN12123868	Model organism or animal	4812357117	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JVC3	JVC3	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Tropheus sp. 'black'	JVC9	tronig_JVC9	SRR9673964	SRX6434499	missing	WGS	252	10672118604	PRJNA550295	SAMN12123869	Model organism or animal	3927072215	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	JVC9	JVC9	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Tropheus sp. 'brichardi kipili' AB-2019	LGA5	trobrK_LGA5	SRR9673833	SRX6434387	missing	WGS	252	9155157480	PRJNA550295	SAMN12124083	Model organism or animal	3127001629	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	LGA5	LGA5	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Tropheus sp. 'brichardi kipili' AB-2019	LGA6	trobrK_LGA6	SRR9673896	SRX6434324	missing	WGS	252	9912539952	PRJNA550295	SAMN12124084	Model organism or animal	3433262621	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	LGA6	LGA6	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Tropheus sp. 'Kirschfleck'	LCF1	trokir_LCF1	SRR9673884	SRX6434336	missing	WGS	252	9133131924	PRJNA550295	SAMN12124039	Model organism or animal	3180892103	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	LCF1	LCF1	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Tropheus sp. 'Kirschfleck'	LCF3	trokir_LCF3	SRR9673885	SRX6434335	missing	WGS	252	8375499720	PRJNA550295	SAMN12124040	Model organism or animal	2906258984	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	LCF3	LCF3	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Tropheus sp. 'lukuga' AB-2019	KEF2	troluk_KEF2	SRR9673922	SRX6434298	missing	WGS	252	16241933484	PRJNA550295	SAMN12123995	Model organism or animal	5848398563	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	KEF2	KEF2	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Tropheus sp. 'lukuga' AB-2019	KEF3	troluk_KEF3	SRR9673923	SRX6434297	missing	WGS	252	9243701460	PRJNA550295	SAMN12123996	Model organism or animal	3231099973	UNIVERSITY OF BASEL	public	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	KEF3	KEF3	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Tropheus sp. 'lunatus' AB-2019	KED6	trolun_KED6	SRR9673918	SRX6434302	missing	WGS	252	9289338156	PRJNA550295	SAMN12123991	Model organism or animal	3239890525	UNIVERSITY OF BASEL	public	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	KED6	KED6	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Tropheus sp. 'lunatus' AB-2019	KED7	trolun_KED7	SRR9673919	SRX6434301	missing	WGS	252	9929660076	PRJNA550295	SAMN12123992	Model organism or animal	3425429918	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	KED7	KED7	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Tropheus sp. 'mpimbwe' AB-2019	LDI7	trompi_LDI7	SRR9673813	SRX6434407	missing	WGS	252	7915264560	PRJNA550295	SAMN12124058	Model organism or animal	2707698180	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	LDI7	LDI7	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Tropheus sp. 'mpimbwe' AB-2019	LDI5	trompi_LDI5	SRR9673955	SRX6434265	missing	WGS	252	8907542532	PRJNA550295	SAMN12124057	Model organism or animal	3067520739	UNIVERSITY OF BASEL	public	"sra,fastq"	"s3,gs"	"gs.US,s3.us-east-1"	missing	Illumina HiSeq 2500	LDI5	LDI5	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	male	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
Tropheus sp. 'murago' AB-2019	LHE3	tromor_LHE3	SRR9673820	SRX6434400	missing	WGS	252	9518101992	PRJNA550295	SAMN12124102	Model organism or animal	3261512671	UNIVERSITY OF BASEL	public	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	missing	Illumina HiSeq 2500	LHE3	LHE3	PAIRED	RANDOM	GENOMIC	ILLUMINA	2020-07-29T00:00:00Z	female	SRP213801	missing	Lake Tanganyika	Lake Tanganyika					
